"Kod";"Stav"
"DPPBM6543-D06D";1
"DPPBM6543-D06E";1
"DPPBM6543-D06F";1
"DPPBM6543-D06G";1
"DPPBM6543-D07C";1
"DPPBM6543-D52A";1
"DPPBM6543-D53A";1
"DPPBM6543-D53C";1
"DPPBM6543-D53D";1
"DPPBM6543-D53F";1
"DPPBM6543-D53G";1
"DPPBM6543-D54A";1
"DPPBM6543-D54C";1
"DPPBM6543-D54D";1
"DPPBM6543-D54F";1
"DPPBM6543-D54G";1
"DPPBM6543-D55A";1
"DPPBM6543-D55C";1
"DPPBM6543-D55D";1
"DPPBM6543-D55F";1
"DPPBM6543-D55G";1
"DPPBM6543-D56A";1
"DPPBM6543-D56C";1
"DPPBM6543-D56D";1
"DPPBM6543-D56F";1
"DPPBM6543-D56G";1
"DPPBM6543-DAA";0
"DPPBM6543-R02A";1
"DPPBM6543-R02B";1
"DPPBM6543-R03A";1
"DPPBM6543-R03B";1
"DPPBM6543-R03C";1
"DPPBM6543-R03D";1
"DPPBM6543-R03E";1
"DPPBM6543-R03F";1
"DPPBM6543-R03G";1
"DPPBM6543-R04A";1
"DPPBM6543-R04B";1
"DPPBM6543-R04C";1
"DPPBM6543-R04D";1
"DPPBM6543-R04E";1
"DPPBM6543-R04F";0
"DPPBM6543-R04G";1
"DPPBM6543-R05A";1
"DPPBM6543-R05B";1
"DPPBM6543-R05C";1
"DPPBM6543-R05D";1
"DPPBM6543-R05E";1
"DPPBM6543-R05F";1
"DPPBM6543-R05G";1
"DPPBM6543-R06A";1
"DPPBM6543-R06B";1
"DPPBM6543-R06C";1
"DPPBM6543-R06D";1
"DPPBM6543-R06E";1
"DPPBM6543-R06F";1
"DPPBM6543-R06G";1
"DPPBM6543-R07C";1
"DPPBM6543-R52A";1
"DPPBM6543-R53A";1
"DPPBM6543-R53C";1
"DPPBM6543-R53D";1
"DPPBM6543-R53F";1
"DPPBM6543-R53G";1
"DPPBM6543-R54A";1
"DPPBM6543-R54C";1
"DPPBM6543-R54D";1
"DPPBM6543-R54F";1
"DPPBM6543-R54G";1
"DPPBM6543-R55A";1
"DPPBM6543-R55C";1
"DPPBM6543-R55D";1
"DPPBM6543-R55F";1
"DPPBM6543-R55G";1
"DPPBM6543-R56A";1
"DPPBM6543-R56C";1
"DPPBM6543-R56D";1
"DPPBM6543-R56F";1
"DPPBM6543-R56G";1
"DPPBM8550-F02CY";0
"DPPBM8550-F02D";1
"DPPBM8550-F02E";1
"DPPBM8550-F02F";1
"DPPBM8550-F02GY";1
"DPPBM8550-F03C";0
"DPPBM8550-F52CY";1
"DPPBM8550-F52DY";1
"DPPBM8550-FAA";0
"DPPBM8650-R02A";1
"DPPBM8650-R02C";0
"DPPBM8650-R02D";1
"DPPBM8650-R02E";1
"DPPBM8650-R02F";1
"DPPBM8650-R02G";1
"DPPBM8650-R03C";1
"DPPBM8650-R06F";1
