;;;;;;;;
;SONOR Pricelist 2026;;;RRP €;Dealer Base €;EAN;UPC;Free-Stock [pcs.]
;;;;;;;;
1;Drums;;;;;;;
1.1;MOMENTUM Drum Series;;;;;;;
1.1.1;MOMENTUM Shell Sets;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.1.3;16234340;MT Birch 12x8.5 TT #SPW;"Tom 12"" x 8.5"", Birch, Satin Pure White";705,00 €;450,25 €;4044661749812;829193750413;20
1.1.3;16234382;MT Birch 12x8.5 TT #CBU;"Tom 12"" x 8.5"", Birch, California Burl";665,00 €;424,71 €;4044661749829;829193750420;18
1.1.3;16234524;MT Maple 12x8.5 TT #REP;"Tom 12"" x 8.5"", Ahorn, Red Pearl";745,00 €;475,80 €;4044661749836;829193750437;10
1.1.3;16234536;MT Maple 12x8.5 TT #GTB;"Tom 12"" x 8.5"", Ahorn, GT Black";745,00 €;475,80 €;4044661749843;829193750444;4
1.1.3;16234540;MT Maple 12x8.5 TT #SPW;"Tom 12"" x 8.5"", Ahorn, Satin Pure White";745,00 €;475,80 €;4044661749850;829193750451;9
1.1.3;16234582;MT Maple 12x8.5 TT #CBU;"Tom 12"" x 8.5"", Ahorn, California Burl";705,00 €;450,25 €;4044661749867;829193750468;3
1.1.3;16236124;MT Beech 13x9.25 TT #REP;"Tom 13"" x 9.25"", Beech, Red Pearl";745,00 €;475,80 €;4044661749874;829193750475;7
1.1.3;16236136;MT Beech 13x9.25 TT #GTB;"Tom 13"" x 9.25"", Beech, GT Black";745,00 €;475,80 €;4044661749881;829193750482;8
1.1.3;16236140;MT Beech 13x9.25 TT #SPW;"Tom 13"" x 9.25"", Beech, Satin Pure White";745,00 €;475,80 €;4044661749898;829193750499;7
1.1.3;16236182;MT Beech 13x9.25 TT #CBU;"Tom 13"" x 9.25"", Beech, California Burl";715,00 €;456,64 €;4044661749904;829193750505;8
