id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
39747289,,406021,406.021,Despiau,Kobylka na violu Superieur,17
39747290,,406022,406.022,Despiau,Kobylka na violu Superieur,4
39747291,,406200,406.200,Aubert,Kobylka na violu Dřevěné,53
39747292,,406400,406.400,Aubert,Kobylka na violu Kobylka pro houslaře,30
39747293,,406401,406.401,Aubert,Kobylka na violu Kobylka pro houslaře,36
39747294,,406402,406.402,Aubert,Kobylka na violu Kobylka pro houslaře,33
39747295,,406410,406.410,Aubert,Kobylka na violu Kobylka pro houslaře,13
39747296,,406411,406.411,Aubert,Kobylka na violu Kobylka pro houslaře,15
39747297,,406412,406.412,Aubert,Kobylka na violu Kobylka pro houslaře,3
39747298,,406425,406.425,Teller,Kobylka na violu,7
39747299,,406426,406.426,Teller,Kobylka na violu,5
39747300,,406427,406.427,Teller,Kobylka na violu,5
39747301,,406745,406.745,Despiau,Kobylka na violu,24
39747302,,406746,406.746,Despiau,Kobylka na violu,16
39747303,,406747,406.747,Despiau,Kobylka na violu,11
39747304,,406748,406.748,GEWA,Kobylka na violu Modell Sacconi,5
39747305,,406749,406.749,GEWA,Kobylka na violu Modell Sacconi,5
39747306,,406750,406.750,GEWA,Kobylka na violu Modell Sacconi,18
39747307,,406751,406.751,GEWA,Kobylka na violu Modell Sacconi,7
39747308,,406753,406.753,GEWA,Kobylka na violu Modell Sacconi,25
39747309,,406755,406.755,GEWA,Kobylka na violu Modell Sacconi,9
39747310,,406760,406.760,Despiau,Kobylka na violu,80
39747311,,406762,406.762,Despiau,Kobylka na violu,111
39747312,,406764,406.764,Despiau,Kobylka na violu,62
39747313,,406770,406.770,Despiau,Kobylka na violu Superieur,6
39747314,,406772,406.772,Despiau,Kobylka na violu Superieur,6
39747315,,406774,406.774,Despiau,Kobylka na violu Superieur,8
39747316,,406801,406.801,Aubert,Kobylka na violu De Luxe,48
39747317,,406803,406.803,Aubert,Kobylka na violu De Luxe,60
39747318,,406804,406.804,Aubert,Kobylka na violu De Luxe,87
39747319,,407021,407.021,Despiau,Kobylka na cello Superieur,31
39747320,,407022,407.022,Despiau,Kobylka na cello Superieur,12
39747321,,407023,407.023,Despiau,Kobylka na cello Superieur,7
